-4.615000000000002,1,3,4,11
-3.625,1,2,3,13
-4.25,2,3,5,9
-4.539999999999997,1,4,5,9
-4.265000000000004,1,2,5,11
-4.6349999999999945,1,2,4,12
-3.960000000000001,2,4,6,8
-4.294999999999995,3,4,6,7
-5.260000000000002,2,5,6,7
-2.690000000000005,1,2,8,9
-4.709999999999994,1,2,5,12
-4.740000000000002,1,4,5,10
-5.340000000000007,1,3,5,11
-4.105,3,4,5,8
-3.8849999999999962,2,3,5,10
-4.434999999999999,1,2,4,13
-5.190000000000001,1,3,6,10
-3.5250000000000092,2,3,4,11
-4.954999999999995,1,4,6,9
-4.414999999999996,1,2,3,14
-3.48500000000001,1,5,6,8
-5.0099999999999945,1,3,4,12
-3.785,1,2,6,11
-4.945000000000004,2,3,7,8
-2.494999999999994,1,3,7,9
-3.7799999999999976,1,2,7,10
-4.43,1,4,7,8
-3.84,2,4,5,9
-4.949999999999996,2,3,6,9
-5.3650000000000055,1,5,6,9
-3.455000000000002,3,5,6,7
-4.560000000000002,1,4,6,10
-3.985000000000003,1,2,8,10
-3.9150000000000027,2,3,5,11
-4.739999999999998,1,3,6,11
-4.085000000000001,3,4,6,8
-4.310000000000002,1,3,4,13
-4.654999999999998,1,4,5,11
-4.524999999999999,1,2,4,14
-3.5850000000000115,1,2,3,15
-3.909999999999993,1,2,7,11
-4.044999999999998,2,5,6,8
-4.065000000000008,2,4,7,8
-4.684999999999999,2,3,6,10
-5.484999999999996,1,3,5,12
-6.4900000000000055,1,5,7,8
-4.585000000000001,1,2,6,12
-3.929999999999998,1,2,5,13
-2.865000000000002,1,3,8,9
-4.364999999999995,1,3,7,10
-4.399999999999999,3,4,5,9
-4.495000000000001,2,4,6,9
-4.675000000000001,2,4,5,10
-5.204999999999995,2,3,7,9
-4.719999999999992,1,4,7,9
-4.260000000000002,2,3,4,12
-5.815000000000008,1,6,7,8
-4.8750000000000036,4,5,6,7
-4.320000000000004,3,5,6,8
-4.620000000000001,2,4,6,10
-5.084999999999999,16,1,2,3
-3.805000000000007,1,2,9,10
-3.3749999999999964,1,2,8,11
-3.1850000000000094,2,4,5,11
-4.509999999999998,3,4,5,10
-4.105,3,4,7,8
-4.939999999999998,1,4,6,11
-4.334999999999994,2,3,5,12
-3.855000000000004,2,3,6,11
-4.60499999999999,1,4,5,12
-4.070000000000004,1,4,8,9
-4.545000000000002,2,3,7,10
-3.689999999999994,1,2,6,13
-3.8550000000000004,1,2,4,15
-5.620000000000001,2,5,7,8
-4.920000000000002,3,4,6,9
-4.159999999999997,1,3,7,11
-5.01499999999999,1,2,7,12
