4.230000000000004,3,4,5,8,9
4.3500000000000085,2,4,6,8,9
5.795000000000009,1,3,6,9,10
5.215000000000003,1,3,5,7,13
5.1049999999999915,16,1,2,4,6
4.189999999999998,1,4,5,8,11
4.145,1,2,4,9,13
4.019999999999989,2,4,5,6,12
4.495000000000003,2,4,5,8,10
4.07,2,3,4,8,12
5.224999999999982,1,3,5,6,14
3.0349999999999966,1,2,7,9,10
4.140000000000004,2,3,4,9,11
5.5249999999999915,1,4,6,7,11
5.700000000000024,1,5,6,8,9
3.5250000000000163,2,4,5,7,11
4.844999999999995,2,3,5,7,12
3.979999999999997,2,3,4,6,14
4.850000000000001,2,3,6,7,11
3.3999999999999986,1,2,7,8,11
3.955000000000016,1,4,5,9,10
5.234999999999999,1,3,5,8,12
4.669999999999991,2,3,4,7,13
5.159999999999993,2,3,7,8,9
4.885000000000005,1,4,7,8,9
6.074999999999985,1,3,6,7,12
3.210000000000008,1,2,5,8,13
3.7799999999999905,1,2,4,7,15
2.9650000000000105,1,2,3,8,15
4.014999999999986,2,3,5,6,13
5.809999999999995,1,3,5,9,11
5.164999999999992,1,4,5,7,12
5.840000000000003,1,3,7,8,10
4.969999999999981,1,3,4,9,12
4.554999999999993,16,1,2,3,7
4.174999999999983,1,2,6,7,13
4.23,1,3,4,10,11
3.4049999999999834,1,3,4,7,14
2.9500000000000135,1,2,6,8,12
4.099999999999998,1,2,3,11,12
5.27,1,2,5,10,11
4.100000000000005,2,3,5,8,11
8.439999999999998,1,5,6,7,10
4.669999999999991,3,4,5,7,10
3.1150000000000126,1,4,6,8,10
4.965,1,2,4,10,12
4.344999999999999,2,3,4,5,15
4.580000000000016,3,4,5,6,11
4.144999999999996,1,2,5,9,12
4.270000000000007,1,2,4,8,14
4.675000000000004,2,3,6,8,10
5.300000000000001,1,4,5,6,13
3.6550000000000082,1,3,4,6,15
2.9749999999999943,1,2,3,10,13
3.995000000000001,2,3,5,9,10
4.749999999999989,1,2,3,9,14
4.685000000000009,3,4,6,8,9
2.995000000000001,3,5,6,7,9
4.324999999999996,4,5,6,7,8
4.39500000000001,1,4,6,8,11
3.6549999999999994,16,1,2,3,8
6.744999999999994,1,4,5,7,13
4.475000000000005,1,4,6,9,10
6.689999999999976,1,3,5,9,12
6.084999999999994,1,4,6,7,12
4.244999999999983,1,2,7,8,12
5.504999999999988,16,1,3,4,6
2.8700000000000045,1,3,4,7,15
4.794999999999991,1,2,5,7,15
3.5400000000000063,1,2,5,8,14
3.6600000000000072,1,3,5,6,15
4.724999999999998,1,3,7,8,11
3.8249999999999993,3,4,5,6,12
3.989999999999995,16,1,2,5,6
4.074999999999996,2,4,5,9,10
4.009999999999987,1,4,5,6,14
4.320000000000002,1,2,4,10,13
4.009999999999998,1,3,4,8,14
3.8200000000000074,1,2,3,11,13
4.540000000000003,3,4,5,7,11
3.1599999999999824,1,2,7,9,11
6.895,2,3,6,7,12
3.594999999999999,1,3,6,7,13
4.185000000000009,2,3,4,10,11
3.9149999999999956,2,3,5,6,14
5.375,2,3,6,9,10
5.024999999999999,2,5,6,8,9
3.4399999999999977,1,4,5,8,12
4.8899999999999935,2,4,5,6,13
3.3999999999999986,1,2,4,9,14
3.375,1,2,5,9,13
4.444999999999986,2,3,5,9,11
4.069999999999997,2,4,5,7,12
3.6700000000000124,2,4,7,8,9
5.8949999999999925,1,5,7,8,9
5.559999999999992,1,2,6,7,14
2.1950000000000074,1,2,6,8,13
4.564999999999991,2,3,5,8,12
4.57,1,2,4,11,12
3.9800000000000075,1,4,7,8,10
4.704999999999995,1,3,6,8,12
4.179999999999989,1,2,6,9,12
7.734999999999992,1,5,6,7,11
3.730000000000011,2,3,6,8,11
2.854999999999997,2,3,4,7,14
4.749999999999975,1,3,7,9,10
5.315000000000001,3,4,6,7,10
3.0150000000000006,1,2,8,9,10
5.350000000000005,2,3,7,8,10
3.200000000000017,1,2,3,9,15
4.709999999999983,1,3,4,10,12
3.8999999999999986,2,4,6,8,10
5.509999999999998,2,5,6,7,10
2.4549999999999983,2,4,6,7,11
6.9000000000000075,1,3,5,10,11
4.365000000000013,2,3,4,9,12
3.9949999999999903,1,2,4,8,15
4.459999999999994,1,2,3,10,14
4.41999999999998,1,3,6,9,11
6.5300000000000225,1,3,5,8,13
5.624999999999979,1,3,5,7,14
3.849999999999998,1,3,4,9,13
5.925000000000004,2,3,5,7,13
4.015000000000011,2,3,4,8,13
5.635000000000009,1,5,6,8,10
4.130000000000003,2,3,4,6,15
4.675000000000006,16,2,3,4,5
3.8799999999999812,16,1,2,4,7
5.374999999999986,1,2,5,10,12
4.3849999999999945,3,4,5,8,10
4.7849999999999895,1,4,5,9,11
4.975000000000001,1,2,6,10,11
3.905000000000012,2,4,5,8,11
6.350000000000005,1,3,6,10,11
