4.904999999999998,3,5,12
4.705000000000002,4,7,9
4.3149999999999995,2,5,13
3.9450000000000003,3,8,9
4.070000000000004,2,3,15
4.855000000000002,16,1,3
5.234999999999999,1,8,11
4.695,4,6,10
3.9750000000000014,3,7,10
3.8900000000000006,2,7,11
4.49499999999999,1,7,12
4.029999999999998,2,4,14
4.359999999999999,2,8,10
3.7100000000000044,3,6,11
4.02,3,4,13
4.944999999999997,1,5,14
4.224999999999998,4,5,11
3.3150000000000013,1,6,13
5.524999999999995,5,6,10
2.349999999999998,6,7,8
4.800000000000001,3,6,12
4.279999999999998,2,6,13
5.359999999999999,16,2,3
5.85,3,5,13
3.424999999999997,5,7,9
3.6849999999999987,4,8,9
4.114999999999995,4,5,12
4.395000000000001,4,7,10
5.6850000000000005,3,8,10
3.8150000000000013,2,8,11
2.780000000000003,1,5,15
6.264999999999995,1,6,14
4.319999999999997,2,9,10
4.299999999999997,4,6,11
3.9750000000000014,2,5,14
4.804999999999996,1,9,11
3.7150000000000007,2,4,15
5.110000000000003,2,7,12
3.4150000000000027,3,7,11
5.074999999999999,1,8,12
4.794999999999998,16,1,4
2.715,1,7,13
3.735000000000001,3,4,14
6.044999999999996,5,7,10
-0.48999999999999844,6,7,9
5.100000000000001,5,8,9
4.310000000000002,3,5,14
3.530000000000001,2,5,15
3.5550000000000015,3,4,15
4.640000000000001,4,6,12
3.9400000000000013,3,6,13
4.095000000000002,2,7,13
5.4050000000000065,1,8,13
4.034999999999998,4,8,10
5.240000000000002,3,9,10
3.644999999999996,5,6,11
4.380000000000003,4,5,13
5.279999999999998,2,6,14
5.909999999999993,1,9,12
4.065000000000001,4,7,11
5.415000000000006,3,8,11
4.889999999999999,16,1,5
4.335000000000001,2,8,12
4.479999999999997,1,6,15
3.5399999999999956,2,9,11
5.830000000000002,1,10,11
5.339999999999993,1,7,14
4.759999999999999,16,2,4
3.904999999999994,3,7,12
3.2799999999999976,6,8,9
2.3400000000000034,6,7,10
4.215,2,9,12
4.314999999999998,2,7,14
