-5.24499999999999,1,2,4,5,7,10
-2.8450000000000095,1,2,4,5,8,9
-3.079999999999991,1,2,3,6,8,9
-4.11999999999999,1,3,4,5,6,10
-2.764999999999997,1,2,3,4,5,14
-5.4600000000000115,2,3,4,6,7,8
-5.190000000000005,1,3,5,6,7,8
-3.805000000000014,2,3,4,5,7,9
-3.609999999999978,1,3,4,6,7,9
-4.169999999999998,1,2,5,6,7,9
-4.214999999999996,1,2,3,4,6,14
-3.575000000000024,1,2,3,4,5,15
-4.635000000000016,1,3,4,5,8,9
-4.739999999999998,1,2,4,5,7,11
-3.919999999999984,1,2,3,4,7,13
-3.2949999999999946,1,2,3,5,9,10
-3.480000000000004,1,2,3,5,8,11
-3.3400000000000105,1,2,4,6,8,9
-4.3350000000000115,1,2,3,6,8,10
-4.845000000000013,1,3,4,5,6,11
-5.119999999999997,1,2,4,6,7,10
-3.7749999999999844,1,2,3,7,8,9
-3.4699999999999953,1,2,3,4,9,11
-5.889999999999986,1,2,3,5,7,12
-2.9099999999999966,1,2,3,5,6,13
-4.910000000000004,1,3,4,5,7,10
-4.989999999999984,1,2,3,6,7,11
-3.4549999999999805,1,2,4,5,6,12
-4.154999999999994,2,3,4,5,6,10
-3.3849999999999945,1,2,3,4,8,12
-4.730000000000018,1,2,4,5,8,10
-3.5199999999999747,1,3,5,6,7,9
-2.5150000000000112,1,2,5,6,8,9
-5.110000000000017,1,4,5,6,7,8
-5.34999999999998,2,3,5,6,7,8
-3.749999999999986,1,2,3,5,6,14
-4.935000000000006,1,3,4,5,7,11
-3.6400000000000006,1,2,3,4,6,15
-4.88499999999998,1,3,4,5,6,12
-3.7150000000000247,1,2,4,6,8,10
-3.7600000000000087,1,2,4,5,9,10
-3.544999999999991,1,2,4,6,7,11
-3.855000000000004,1,2,3,7,8,10
-4.750000000000014,2,3,4,6,7,9
-5.079999999999991,1,3,4,6,7,10
-4.144999999999985,1,2,3,5,8,12
-2.2000000000000135,1,2,3,4,8,13
-3.3249999999999815,1,2,3,6,8,11
-4.1000000000000085,1,2,3,5,9,11
-4.555000000000014,1,3,4,5,8,10
-4.500000000000011,2,3,4,5,8,9
-3.9899999999999913,1,2,3,4,9,12
-4.105,1,2,4,5,8,11
-4.734999999999992,1,2,3,4,10,11
-6.744999999999983,1,2,3,6,7,12
-5.125000000000002,16,1,2,3,4,5
-4.709999999999994,1,2,4,5,6,13
-4.090000000000007,1,3,4,6,8,9
-3.269999999999989,1,2,4,7,8,9
-6.070000000000007,1,2,5,6,7,10
-3.8649999999999913,2,3,4,5,7,10
-3.5250000000000057,2,3,4,5,6,11
-6.020000000000007,1,2,3,5,7,13
-3.0499999999999687,1,2,3,4,7,14
-4.440000000000026,1,2,3,6,9,10
-4.619999999999987,1,2,4,5,7,12
-5.245000000000029,2,3,4,6,8,9
-4.609999999999999,2,4,5,6,7,8
-5.459999999999994,1,2,4,6,7,12
-4.494999999999997,1,2,3,4,10,12
-5.780000000000005,1,2,5,6,7,11
-3.3000000000000114,1,2,3,5,8,13
-3.979999999999997,1,3,4,5,9,10
-4.479999999999961,1,2,3,7,9,10
-4.1850000000000165,2,3,5,6,7,9
-5.304999999999996,1,4,5,6,7,9
-4.534999999999975,1,2,3,5,7,14
-2.86000000000001,1,2,3,5,6,15
-3.67499999999999,1,2,4,6,8,11
-5.4749999999999766,16,1,2,3,4,6
-3.0649999999999977,1,2,3,4,9,13
-3.555000000000014,1,2,5,6,8,10
-4.23500000000001,2,3,4,5,7,11
