-12.934999999999143,16,1,2,3,4,6,7,8,9,10,11,12
-13.500000000000043,1,2,3,4,5,6,7,8,11,13,14,15
-4.189999999999763,16,1,2,3,4,5,6,7,9,10,11,15
-5.119999999999756,16,1,2,3,4,5,6,7,9,11,12,13
-6.109999999999907,1,2,3,5,6,7,8,9,10,11,13,14
-4.935000000000024,16,1,2,3,4,5,6,7,8,9,13,15
7.955000000000247,1,2,3,4,6,7,8,9,10,12,13,14
0.6900000000003601,1,2,3,4,5,7,8,9,11,12,13,14
-3.004999999999356,1,2,3,4,5,6,7,9,11,12,14,15
-10.064999999999792,1,2,3,4,5,6,7,9,10,13,14,15
-15.000000000000043,16,1,2,3,4,5,6,7,8,11,12,14
2.77000000000006,1,2,3,4,5,6,8,9,10,12,14,15
-12.419999999999831,16,1,2,3,4,5,6,7,9,10,12,14
-0.39499999999964786,16,1,2,3,4,5,7,8,9,10,11,13
-5.609999999999808,16,1,2,3,4,5,6,7,8,10,13,14
-0.985000000000305,1,2,3,4,5,6,8,10,11,12,13,14
1.1000000000004917,1,2,3,4,5,7,8,9,10,11,14,15
1.580000000000581,1,2,3,4,6,7,8,9,10,11,13,15
0.5700000000003058,16,1,2,3,4,5,6,8,9,10,12,13
-4.354999999999819,16,1,2,3,4,5,6,7,8,10,12,15
-6.075000000000358,16,1,2,3,4,5,6,8,9,10,11,14
4.6100000000003405,1,2,3,4,5,7,8,9,10,12,13,15
1.4200000000003072,1,2,3,4,5,7,8,9,10,12,14,15
-14.570000000000313,1,3,4,5,6,7,8,9,10,11,12,14
-5.875000000000014,2,3,4,5,6,7,8,9,10,11,12,13
-1.1000000000000512,1,2,4,5,6,7,8,9,10,11,13,14
-5.390000000000093,16,1,2,3,4,5,6,7,8,10,13,15
-7.229999999999613,1,2,3,5,6,7,8,9,10,12,13,14
2.8250000000000384,16,1,2,3,4,5,6,7,10,11,12,13
3.3299999999997354,1,2,3,4,6,7,8,9,11,12,13,14
7.285000000000117,1,2,3,4,5,7,8,10,11,12,13,14
-2.8949999999999747,1,2,3,4,5,6,9,10,11,12,13,14
-12.649999999999679,16,1,2,3,5,6,7,8,9,10,11,12
9.72500000000013,1,2,3,4,6,7,8,9,10,12,13,15
3.155000000000406,1,2,3,4,5,6,8,9,11,12,14,15
0.9699999999999136,1,2,3,4,5,6,8,9,10,13,14,15
-2.0899999999996197,16,1,2,3,4,5,6,7,8,9,14,15
-1.9449999999999434,16,1,2,3,4,5,6,8,9,11,12,13
-8.864999999999739,16,1,2,3,4,5,6,7,9,11,12,14
-6.159999999999897,16,1,2,3,4,5,6,8,9,10,12,14
-13.649999999999721,1,2,3,4,5,6,7,10,11,12,14,15
-0.3449999999992883,16,1,2,3,4,6,7,8,9,10,11,13
-1.0649999999996922,16,1,2,3,4,5,7,8,9,10,11,14
-5.665000000000141,16,1,2,3,4,5,6,7,9,10,12,15
-1.4210854715202004E-14,1,2,3,4,5,6,7,8,12,13,14,15
-14.759999999999664,16,1,2,3,4,5,6,7,8,11,12,15
-10.699999999999811,16,1,2,3,4,5,6,7,9,10,13,14
1.6000000000003922,1,2,3,4,5,7,8,9,11,12,13,15
-6.054999999999822,1,2,4,5,6,7,8,9,10,11,12,15
-10.630000000000301,16,1,2,3,4,5,6,7,8,11,13,14
-10.624999999999886,1,2,3,4,5,6,7,9,11,13,14,15
4.155000000000712,16,1,2,3,4,5,7,8,9,10,12,13
3.954999999999849,1,2,3,4,5,6,8,10,11,12,13,15
-2.3850000000000833,1,2,3,5,6,7,8,9,10,11,13,15
0.5550000000000566,16,1,2,3,4,5,6,8,9,10,11,15
-5.304999999999509,1,2,3,4,6,7,8,9,10,11,14,15
-4.0449999999998525,1,3,4,5,6,7,8,9,10,11,13,14
-5.650000000000169,2,3,4,5,6,7,8,9,10,11,12,14
6.860000000000284,1,2,4,5,6,7,8,9,10,12,13,14
-7.50999999999992,1,2,3,4,5,6,8,10,11,12,14,15
-14.214999999999598,16,1,2,3,4,5,6,7,10,11,12,14
-7.055000000000192,1,2,3,5,6,7,8,9,11,12,13,14
-1.7299999999998192,1,2,3,4,5,6,8,9,11,13,14,15
0.17000000000034987,16,1,2,3,4,5,7,8,9,10,11,15
2.364999999999796,16,1,2,3,4,5,6,8,10,11,12,13
-4.399999999999515,1,2,3,4,5,7,8,9,10,13,14,15
0.560000000000521,16,1,2,3,4,5,7,8,9,10,12,14
-5.050000000000118,16,1,2,3,4,5,6,7,8,12,13,14
-13.560000000000052,16,1,2,3,4,5,6,7,8,11,13,15
9.815000000000005,1,2,3,4,6,7,8,10,11,12,13,14
6.289999999999601,1,2,3,4,6,7,8,9,11,12,13,15
-13.444999999999858,16,1,2,3,4,5,6,7,8,10,14,15
5.990000000000514,1,2,3,4,5,7,8,9,11,12,14,15
-8.30999999999976,16,1,2,3,4,5,6,7,9,10,13,15
-7.184999999999697,16,1,2,3,4,6,7,8,9,10,11,14
0.035000000000486864,1,2,3,4,5,7,9,10,11,12,13,14
-4.480000000000032,1,3,4,5,6,7,8,9,10,11,12,15
1.9450000000000855,16,1,2,3,4,5,6,8,9,10,12,15
6.325000000000642,16,1,2,3,4,6,7,8,9,10,12,13
-7.5950000000002476,16,1,2,3,4,5,6,8,9,11,12,14
-6.40499999999993,1,2,3,4,6,7,8,9,10,12,14,15
-10.84499999999943,16,1,2,4,5,6,7,8,9,10,11,12
-6.5349999999995205,16,1,2,3,4,5,7,8,9,11,12,13
2.745000000000111,1,2,3,4,5,7,8,10,11,12,13,15
-0.16499999999977177,1,2,4,5,6,7,8,9,10,11,13,15
-3.7899999999998784,1,2,3,5,6,7,8,9,10,11,14,15
-14.284999999999933,1,2,3,4,5,6,7,10,11,13,14,15
4.4200000000003925,1,2,3,5,6,7,8,9,10,12,13,15
-3.610000000000312,16,1,2,3,4,5,6,8,9,10,13,14
-3.4799999999998477,16,1,2,3,5,6,7,8,9,10,11,13
-9.069999999999766,16,1,2,3,4,5,6,7,9,11,12,15
-1.634999999999998,1,2,3,4,5,6,9,10,11,12,13,15
0.8900000000003772,1,2,3,4,5,6,7,9,12,13,14,15
-8.989999999999668,16,1,2,3,4,5,6,7,9,11,13,14
0.04499999999946169,1,2,3,5,6,7,8,9,11,12,13,15
-7.780000000000079,2,3,4,5,6,7,8,9,10,11,13,14
-3.5000000000000497,1,3,4,5,6,7,8,9,10,12,13,14
-12.930000000000021,16,1,2,3,4,5,6,8,10,11,12,14
-4.219999999999992,16,1,2,3,4,6,7,8,9,11,12,13
-7.50999999999987,16,1,2,3,4,5,6,7,10,11,13,14
-3.655000000000058,16,1,2,3,4,5,6,7,8,12,13,15
-4.004999999999789,1,2,3,4,5,7,8,10,11,12,14,15
-13.74999999999956,16,1,3,4,5,6,7,8,9,10,11,12
-5.929999999999602,16,1,2,3,4,6,7,8,9,10,12,14
-5.349999999999973,1,2,3,4,5,7,9,10,11,12,13,15
-5.669999999999732,1,2,3,5,6,7,8,9,10,12,14,15
-1.3200000000000287,16,1,2,3,4,5,6,8,9,10,13,15
-9.93500000000003,16,1,2,3,5,6,7,8,9,10,11,14
-1.6749999999999545,16,1,2,3,4,5,6,8,9,11,12,15
-6.10500000000021,16,1,2,3,4,5,6,8,9,11,13,14
1.0450000000002717,1,2,3,4,6,7,8,9,11,12,14,15
0.42499999999999716,16,1,2,3,4,5,6,9,10,11,12,13
-1.6449999999999676,16,1,2,3,4,5,7,8,9,11,12,14
-0.6600000000003945,1,2,4,5,6,7,8,9,11,12,13,14
-6.125000000000149,1,2,3,5,6,7,8,10,11,12,13,14
-14.309999999999846,16,1,2,3,4,5,6,7,10,11,12,15
-4.909999999999407,1,2,3,4,6,7,8,9,10,13,14,15
0.5550000000003763,16,1,2,3,4,5,7,8,9,10,12,15
3.885000000000403,1,2,3,4,6,7,9,10,11,12,13,14
2.234999999999914,1,2,3,4,5,8,9,10,11,12,13,14
-5.479999999999471,1,2,3,4,5,7,8,9,11,13,14,15
-10.814999999999806,16,1,2,3,4,5,6,7,9,11,13,15
3.9050000000004204,1,2,4,5,6,7,8,9,10,11,14,15
-1.0249999999993875,16,1,2,3,4,5,7,8,9,10,13,14
